"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor","=""21-1013""","77.8","87.7","9.8","12.6","7.7","63,780","Master's degree","2","None","4","Internship/residency","1"
"Massage therapists    * Deep Tissue Massage Therapist* Licensed Massage Practitioner* Licensed Massage Therapist* Masseur* Masseuse* Massotherapist* Rolfer* Swedish Masseuse","=""31-9011""","168.0","193.9","25.9","15.4","24.7","57,950","Postsecondary nondegree award","5","None","4","None","6"
"Material moving workers, all other    * Back Hoe Operator* Backhoe Operator* Bulldozer Operator* End Loader Operator* Freight Elevator Operator* Payloader Operator* Shovel Operator","=""53-7199""","27.7","28.9","1.2","4.3","3.1","41,690","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer","=""17-2131""","23.0","24.3","1.3","5.7","1.5","108,310","Bachelor's degree","3","None","4","None","6"
"Materials scientists    * Metal Alloy Scientist* Plastics Scientist","=""19-2032""","8.7","9.1","0.4","4.9","0.6","104,160","Bachelor's degree","3","None","4","None","6"
"Mathematical science occupations, all other    * Harmonic Analyst* Mathematical Engineering Technician* Mathematics Technician","=""15-2099""","5.0","5.2","0.2","4.0","0.3","71,490","Bachelor's degree","3","None","4","None","6"
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor","=""25-1022""","58.9","60.2","1.3","2.3","4.4","79,350","Doctoral or professional degree","1","None","4","None","6"
"Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician","=""15-2021""","2.4","2.4","0.0","-0.7","0.1","121,680","Master's degree","2","None","4","None","6"
"Meat, poultry, and fish cutters and trimmers    * Crab Picker* Deboner* Fish Cutter* Fish Filleter* Frozen Meat Cutter* Meat Trimmer* Oyster Shucker* Poultry Cutter* Poultry Eviscerator* Shrimp Peeler* Shrimp Picker* Wing Scorer","=""51-3022""","146.8","154.9","8.1","5.5","18.4","37,700","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Mechanical door repairers    * Automatic Door Mechanic* Door Closer Mechanic* Garage Door Technician* Overhead Door Technician","=""49-9011""","28.4","31.7","3.2","11.4","2.7","51,050","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Mechanical drafters    * Aeronautical Drafter* Automotive Design Drafter* Die Designer* Gage Designer* Mechanical Design Drafter* Tool Designer* Tool and Die Designer","=""17-3013""","42.9","40.1","-2.8","-6.5","3.3","68,510","Associate's degree","4","None","4","None","6"
"Mechanical engineering technologists and technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Mechanical Engineering Technologist* Optomechanical Technician","=""17-3027""","38.3","38.3","0.0","0.0","3.2","68,730","Associate's degree","4","None","4","None","6"
"Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Tool Engineer* Tool and Die Engineer","=""17-2141""","293.1","319.6","26.5","9.1","18.1","102,320","Bachelor's degree","3","None","4","None","6"
"Media and communication equipment workers, all other    * Satellite Communications Operator","=""27-4099""","15.1","15.2","0.1","0.6","1.1","67,190","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Media and communication workers, all other    * Public Address Announcer* Stage Technician* Train Announcer* Train Caller","=""27-3099""","34.3","35.3","0.9","2.7","3.0","71,770","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Medical and health services managers    * Chief Medical Information Officer* Clinic Director* Clinical Informatics Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Information Services Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager","=""11-9111""","616.2","759.1","142.9","23.2","62.1","117,960","Bachelor's degree","3","Less than 5 years","2","None","6"
"Medical appliance technicians    * Arch-Support Maker* Brace Maker* Hearing Aid Repair Technician* Manufacturing Orthopedic Technologist* Orthotic Fabricator Technician* Orthotic Finish Grinding Technician* Orthotics Fitter* Orthotics Technician* Prosthetics Fabrication Technician* Prosthetics Lab Technician* Prosthetics Technician* Surgical Appliance Fitter","=""51-9082""","12.0","12.4","0.4","3.7","1.5","47,060","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical assistants    * Autopsy Assistant* Certified Medical Assistant* Chiropractic Assistant* Clinical Medical Assistant* Morgue Attendant* Ocular Care Aide* Optometric Aide* Optometrist Assistant* Optometry Assistant* Orthopedic Cast Specialist* Podiatric Aide","=""31-9092""","811.0","912.2","101.2","12.5","112.3","44,200","Postsecondary nondegree award","5","None","4","None","6"
"Medical dosimetrists    * Certified Medical Dosimetrist* Qualified Medical Dosimetrist","=""29-2036""","4.8","4.9","0.2","3.5","0.2","138,110","Bachelor's degree","3","None","4","None","6"
"Medical equipment preparers    * Central Sterile Supply Technician* Certified Registered Central Service Technician* Health Equipment Servicer* Medical Supply Technician* Oxygen Equipment Preparer* Sterile Preparation Technician* Sterile Processing Technician* Sterile Processing and Distribution Technician* Sterilization Specialist* Sterilization Technician","=""31-9093""","76.5","84.2","7.6","10.0","10.9","46,490","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic","=""49-9062""","68.0","76.8","8.8","12.9","7.3","62,630","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Medical records specialists    * Health Information Coder* Health Records Technician* Medical Bill Coder","=""29-2072""","194.8","208.6","13.8","7.1","14.2","50,250","Postsecondary nondegree award","5","None","4","None","6"
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Gerontologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist","=""19-1042""","165.3","179.6","14.3","8.7","9.6","100,590","Doctoral or professional degree","1","None","4","None","6"
"Medical secretaries and administrative assistants    * Dental Secretary* Hospital Secretary* Psychiatric Secretary","=""43-6013""","850.0","885.3","35.3","4.2","85.9","44,640","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Medical transcriptionists    * Certified Medical Transcriptionist* Medical Record Transcriber* Medical Stenographer* Medical Transcriber* Pathology Transcriptionist* Radiology Transcriptionist* Registered Medical Transcriptionist","=""31-9094""","43.9","41.8","-2.2","-4.9","7.4","37,550","Postsecondary nondegree award","5","None","4","None","6"
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner","=""13-1121""","155.8","163.3","7.5","4.8","15.5","59,440","Bachelor's degree","3","None","4","None","6"
"Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker","=""21-1023""","136.8","150.1","13.3","9.7","13.5","60,060","Master's degree","2","None","4","Internship/residency","1"
"Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer","=""27-1026""","193.0","199.3","6.2","3.2","20.8","37,350","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Metal workers and plastic workers, all other    * Electrical Discharge Machine Setup Operator* Metal Rivet Machine Operator* Tin Recovery Worker","=""51-4199""","20.4","18.5","-1.9","-9.5","1.7","42,750","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Metal-refining furnace operators and tenders    * Electric Arc Furnace Operator* Melt Room Operator* Smelter Operator","=""51-4051""","20.8","20.3","-0.5","-2.3","2.0","55,770","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Meter readers, utilities    * Electric Meter Reader* Gas Meter Reader* Water Meter Reader","=""43-5041""","20.1","17.7","-2.4","-12.0","1.3","49,180","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist","=""19-1022""","20.7","21.6","0.8","4.1","1.7","87,330","Bachelor's degree","3","None","4","None","6"
"Middle school teachers, except special and career/technical education    * Intermediate School Social Studies Teacher* Junior High School Teacher* Middle School PE Teacher* Middle School Science Teacher","=""25-2022""","633.7","621.3","-12.4","-2.0","40.5","62,970","Bachelor's degree","3","None","4","None","6"
"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator","=""51-4035""","13.8","11.8","-2.0","-14.4","1.1","48,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Millwrights    * Construction Millwright* Machine Erector* Machinery Dismantler* Maintenance Millwright* Manufacturing Millwright","=""49-9044""","41.3","41.3","0.0","0.0","3.6","65,170","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer","=""17-2151""","7.0","7.0","0.0","0.7","0.4","101,020","Bachelor's degree","3","None","4","None","6"
"Miscellaneous assemblers and fabricators","=""51-2090""","1,467.1","1,465.9","-1.3","-0.1","156.3","42,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Miscellaneous construction and related workers","=""47-4090""","35.0","36.2","1.2","3.5","3.1","48,120","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Mixing and blending machine setters, operators, and tenders    * Asphalt Blender* Clay Mixer* Concrete Batcher* Dye Mixer* Glue Mixer* Ink Blender* Ink Mixer* Plaster Mixer* Resin Mixer","=""51-9023""","101.1","94.3","-6.8","-6.8","8.8","47,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Mobile heavy equipment mechanics, except engines    * Bulldozer Mechanic* Construction Equipment Mechanic* Dragline Mechanic* Forklift Mechanic* Forklift Technician* Logging Equipment Mechanic","=""49-3042""","188.7","199.6","10.9","5.8","16.5","63,980","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Model makers, metal and plastic    * Metal Mockup Maker* Plastic Jig and Fixture Builder","=""51-4061""","3.2","2.6","-0.6","-18.2","0.3","62,700","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Model makers, wood    * Architectural Wood Model Maker","=""51-7031""","0.9","0.9","0.0","-4.5","0.1","51,850","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
